"","Player","Round","Result","Opponent","sth","Standing","PlayerDeck","OpponentDeck","tournament"
"58201","Ema03","1","WIN","Xuantien",NA,"0-10-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"58217","charismaacheck","3","LOSS","Lukse",NA,"3-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","ursiiday2"
"58221","charismaacheck","2","WIN","zaiko08",NA,"0-10-0","Pikachu ex Zebstrika","Charizard ex Moltres ex","ursiiday2"
"58291","Rameeeen23","5","LOSS","K1zams",NA,"5-5-0","Dragonite Frosmoth","Mewtwo ex Gardevoir","ursiiday2"
"58301","Rameeeen23","4","LOSS","MongaZone",NA,"3-4-0drop","Dragonite Frosmoth","Articuno ex Lapras ex","ursiiday2"
"58315","Rameeeen23","3","WIN","Tayz",NA,"0-10-0","Dragonite Frosmoth","Pikachu ex Zapdos ex","ursiiday2"
"58321","Rameeeen23","2","LOSS","zuma",NA,"3-2-0drop","Dragonite Frosmoth","Articuno ex Starmie ex","ursiiday2"
"58331","Rameeeen23","1","LOSS","PIPPIKING",NA,"7-3-0","Dragonite Frosmoth","Pikachu ex Raichu","ursiiday2"
"58391","DarKingBR","5","LOSS","Tellador",NA,"5-5-0","Arbok Weezing","Zapdos ex Pidgeot","ursiiday2"
"58401","DarKingBR","4","LOSS","matcha",NA,"2-3-0drop","Arbok Weezing","Pikachu ex Raichu","ursiiday2"
"58412","DarKingBR","3","LOSS","Shirotori",NA,"7-3-0","Arbok Weezing","Moltres ex Ninetales","ursiiday2"
"58421","DarKingBR","2","WIN","Feeling4",NA,"0-2-0drop","Arbok Weezing","Charizard ex Moltres ex","ursiiday2"
"58431","DarKingBR","1","LOSS","nxissimo",NA,"6-4-0drop","Arbok Weezing","Pikachu ex Zapdos ex","ursiiday2"
"58501","Porkatack","4","LOSS","Azhell",NA,"5-5-0","Charizard ex Magmar","Primeape","ursiiday2"
"58515","Porkatack","3","LOSS","MrGlue",NA,"2-2-0drop","Charizard ex Magmar","Pikachu ex Zapdos ex","ursiiday2"
"58521","Porkatack","2","LOSS","draloken",NA,"3-2-0drop","Charizard ex Magmar","Dragonite Weezing","ursiiday2"
"58531","Porkatack","1","WIN","VentusLebrant",NA,"6-4-0","Charizard ex Magmar","Mewtwo ex Gardevoir","ursiiday2"
"58601","Kux","4","LOSS","PeptoG",NA,"6-4-0","Charizard ex Moltres ex","Pikachu ex Zapdos ex","ursiiday2"
"58613","Kux","3","LOSS","VermiCL",NA,"4-2-0drop","Charizard ex Moltres ex","Pikachu ex Electrode","ursiiday2"
"58621","Kux","2","WIN","Dixiiit",NA,"0-2-0drop","Charizard ex Moltres ex","Pikachu ex Zapdos ex","ursiiday2"
"58631","Kux","1","LOSS","Kevy93",NA,"2-2-0drop","Charizard ex Moltres ex","Alakazam Weezing","ursiiday2"
"58661","haito","8","LOSS","Gex",NA,"4-6-0","Pikachu ex Raichu","Articuno ex Starmie ex","ursiiday2"
"58691","haito","5","LOSS","Drix",NA,"4-6-0","Pikachu ex Raichu","Ninetales Rapidash","ursiiday2"
"58712","haito","3","LOSS","THBfra",NA,"3-7-0","Pikachu ex Raichu","Mewtwo ex Gardevoir","ursiiday2"
"58721","haito","2","LOSS","johnnychiou36",NA,"8-2-0","Pikachu ex Raichu","Mewtwo ex Gardevoir","ursiiday2"
"58731","haito","1","WIN","Lukse",NA,"3-3-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","ursiiday2"
"58791","TTVGorgXD","5","LOSS","DownAirOnly",NA,"4-3-0drop","Charizard ex Moltres ex","Pikachu ex Zapdos ex","ursiiday2"
"5880","TTVGorgXD","4","LOSS","Hayakeo",NA,"3-6-0drop","Charizard ex Moltres ex","Articuno ex Lapras ex","ursiiday2"
"58813","TTVGorgXD","3","LOSS","DEADi",NA,"4-2-0drop","Charizard ex Moltres ex","Primeape Sandslash","ursiiday2"
"58821","TTVGorgXD","2","LOSS","Smoothie",NA,"5-4-0drop","Charizard ex Moltres ex","Articuno ex Starmie ex","ursiiday2"
"58831","TTVGorgXD","1","WIN","Fauros",NA,"1-3-0drop","Charizard ex Moltres ex","Dragonite Weezing","ursiiday2"
"5890","PeachSLP","4","LOSS","ContreraxD",NA,"2-3-0drop","Mewtwo ex Gardevoir","Venusaur ex Lilligant","ursiiday2"
"58913","PeachSLP","3","WIN","K1zams",NA,"5-5-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"58921","PeachSLP","2","LOSS","paanchooo",NA,"5-5-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","ursiiday2"
"58931","PeachSLP","1","LOSS","Th3RaT",NA,"4-3-0drop","Mewtwo ex Gardevoir","Marowak ex Pidgeot","ursiiday2"
"58981","Loup","6","LOSS","Boxcarjoethemagichobo",NA,"2-8-0","Articuno ex Dragonite","Arbok Weezing","ursiiday2"
"58991","Loup","5","LOSS","KhaZ_5",NA,"6-4-0","Articuno ex Dragonite","Articuno ex Frosmoth","ursiiday2"
"5900","Loup","4","LOSS","i9mha",NA,"3-7-0","Articuno ex Dragonite","Mewtwo ex Gardevoir","ursiiday2"
"59014","Loup","3","LOSS","iyosz",NA,"2-8-0","Articuno ex Dragonite","Dragonite Snorlax","ursiiday2"
"59021","Loup","2","LOSS","Bombo",NA,"3-2-0drop","Articuno ex Dragonite","Pikachu ex Zebstrika","ursiiday2"
"59031","Loup","1","WIN","Senfapfel98",NA,"6-4-0","Articuno ex Dragonite","Pikachu ex Zapdos ex","ursiiday2"
"59081","St3","6","LOSS","OPX",NA,"3-7-0","Pikachu ex Zapdos ex","Charizard ex Moltres ex","ursiiday2"
"59091","St3","5","LOSS","Micka",NA,"6-4-0","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","ursiiday2"
"59101","St3","4","LOSS","Stoffies",NA,"5-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","ursiiday2"
"59119","St3","3","LOSS","sadclown",NA,"4-3-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"59121","St3","2","LOSS","Myungjoon Kim",NA,"2-8-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"59131","St3","1","WIN","KyoMeh",NA,"1-3-0drop","Pikachu ex Zapdos ex","Dragonite Weezing","ursiiday2"
"59141","TobiYume","4","LOSS","KennyeSpring",NA,"2-8-0","Starmie ex Golduck","Pikachu ex Zapdos ex","ursiiday2"
"59151","TobiYume","3","LOSS","Moppie",NA,"2-8-0","Starmie ex Golduck","Mewtwo ex Gardevoir","ursiiday2"
"59161","TobiYume","2","WIN","99johnsteven",NA,"3-4-0drop","Starmie ex Golduck","Mewtwo ex Gardevoir","ursiiday2"
"59171","TobiYume","1","LOSS","DarthTator22",NA,"2-2-0drop","Starmie ex Golduck","Marowak ex Sandslash","ursiiday2"
"59231","BuraKaii","4","LOSS","99johnsteven",NA,"3-4-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","ursiiday2"
"59241","BuraKaii","3","LOSS","jaycefel",NA,"4-3-0drop","Pikachu ex Zebstrika","Exeggutor ex Exeggutor","ursiiday2"
"59251","BuraKaii","2","LOSS","Jzin",NA,"7-3-0","Pikachu ex Zebstrika","Ninetales Rapidash","ursiiday2"
"59261","BuraKaii","1","WIN","KaynEterno",NA,"0-3-0drop","Pikachu ex Zebstrika","Starmie ex Greninja","ursiiday2"
"59291","penipejalanawan","8","LOSS","Chunti",NA,"3-7-0","Gengar ex Mewtwo ex","Muk Weezing","ursiiday2"
"59321","penipejalanawan","5","LOSS","Amurim",NA,"3-4-0drop","Gengar ex Mewtwo ex","Articuno ex","ursiiday2"
"59331","penipejalanawan","4","LOSS","yunlong",NA,"4-6-0","Gengar ex Mewtwo ex","Mewtwo ex Gardevoir","ursiiday2"
"59341","penipejalanawan","3","LOSS","Welc0",NA,"3-3-0drop","Gengar ex Mewtwo ex","Pikachu ex Zapdos ex","ursiiday2"
"59351","penipejalanawan","2","LOSS","Gyojun",NA,"2-1-0drop","Gengar ex Mewtwo ex","Pikachu ex Zapdos ex","ursiiday2"
"59361","penipejalanawan","1","WIN","Majin_Tera",NA,"0-1-0drop","Gengar ex Mewtwo ex","Pikachu ex Zebstrika","ursiiday2"
"59421","Wienze","5","LOSS","Rahul",NA,"3-7-0","Pikachu ex Zapdos ex","Venusaur ex Lilligant","ursiiday2"
"59431","Wienze","4","LOSS","Tuajedka",NA,"4-3-0drop","Pikachu ex Zapdos ex","Marowak ex Golbat","ursiiday2"
"59441","Wienze","3","LOSS","KoNoRd",NA,"4-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Electrode","ursiiday2"
"59451","Wienze","2","LOSS","MaximusAle",NA,"6-4-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"59461","Wienze","1","WIN","breeban",NA,"0-10-0","Pikachu ex Zapdos ex","Starmie ex Greninja","ursiiday2"
"59531","Circlesh","4","LOSS","VULKAN",NA,"4-4-0drop","Exeggutor ex Venusaur ex","Blastoise ex Tentacruel","ursiiday2"
"59541","Circlesh","3","LOSS","NikoAlexander",NA,"6-4-0","Exeggutor ex Venusaur ex","Ninetales Rapidash","ursiiday2"
"59551","Circlesh","2","LOSS","Chip Richey",NA,"4-2-0drop","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","ursiiday2"
"59561","Circlesh","1","WIN","Akashin",NA,"0-1-0drop","Exeggutor ex Venusaur ex","Marowak ex Sandslash","ursiiday2"
"59621","Luis ","5","LOSS","Saga",NA,"2-4-0drop","Articuno ex Lapras ex","Charizard ex Moltres ex","ursiiday2"
"59631","Luis ","4","LOSS","BigPlanet26",NA,"5-5-0","Articuno ex Lapras ex","Pikachu ex Heliolisk","ursiiday2"
"59641","Luis ","3","LOSS","waffle0118",NA,"4-3-0drop","Articuno ex Lapras ex","Alakazam Greninja","ursiiday2"
"59651","Luis ","2","LOSS","Sarson",NA,"3-2-0drop","Articuno ex Lapras ex","Pikachu ex Zapdos ex","ursiiday2"
"59661","Luis ","1","WIN","Jhonnycito",NA,"0-10-0","Articuno ex Lapras ex","Mewtwo ex Gardevoir","ursiiday2"
"59671","PaTiiiKz","4","LOSS","DWChronos",NA,"2-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"59681","PaTiiiKz","3","LOSS","Silent",NA,"2-2-0drop","Mewtwo ex Gardevoir","Articuno ex Starmie ex","ursiiday2"
"59691","PaTiiiKz","2","WIN","Neutranika",NA,"0-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"5970","PaTiiiKz","1","LOSS","YoungLotus12",NA,"1-3-0drop","Mewtwo ex Gardevoir","Marowak ex Primeape","ursiiday2"
"59771","Helzen","4","LOSS","Razu_zu",NA,"6-4-0","Mewtwo ex Gardevoir","Wigglytuff ex Weezing","ursiiday2"
"59781","Helzen","3","WIN","ssmt",NA,"0-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"59791","Helzen","2","LOSS","Boonia3",NA,"5-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"59861","Botijo","5","LOSS","Serkan",NA,"3-4-0drop","Pikachu ex Raichu","Venusaur ex Weezing","ursiiday2"
"59871","Botijo","4","LOSS","chrisotore2",NA,"4-3-0drop","Pikachu ex Raichu","Pikachu ex Electrode","ursiiday2"
"59881","Botijo","3","LOSS","jreamx",NA,"5-3-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","ursiiday2"
"59891","Botijo","2","WIN","antarcticiteboy",NA,"0-2-0drop","Pikachu ex Raichu","Exeggutor ex Venusaur ex","ursiiday2"
"5990","Botijo","1","LOSS","davenznk",NA,"1-2-0drop","Pikachu ex Raichu","Pikachu ex Zebstrika","ursiiday2"
"59971","HERNANSKY","4","LOSS","lucari",NA,"3-3-0drop","Dragonite Kangaskhan","Articuno ex Starmie ex","ursiiday2"
"59981","HERNANSKY","3","LOSS","lmc131121",NA,"4-6-0","Dragonite Kangaskhan","Mewtwo ex Gardevoir","ursiiday2"
"59991","HERNANSKY","2","WIN","Fauros",NA,"1-3-0drop","Dragonite Kangaskhan","Dragonite Weezing","ursiiday2"
"6000","HERNANSKY","1","LOSS","SKY_SkyWolf93",NA,"8-2-0","Dragonite Kangaskhan","Mewtwo ex Gardevoir","ursiiday2"
"60051","Awbrn","6","LOSS","Encryption",NA,"4-6-0","Starmie ex Golduck","Mewtwo ex Gardevoir","ursiiday2"
"60061","Awbrn","5","LOSS","TwoKayPie",NA,"6-4-0","Starmie ex Golduck","Mewtwo ex Gardevoir","ursiiday2"
"60071","Awbrn","4","LOSS","Enfurno",NA,"2-3-0drop","Starmie ex Golduck","Pikachu ex Electrode","ursiiday2"
"60081","Awbrn","3","LOSS","Gh0ulface",NA,"2-3-0drop","Starmie ex Golduck","Pikachu ex Zebstrika","ursiiday2"
"60091","Awbrn","2","WIN","Rahul",NA,"3-7-0","Starmie ex Golduck","Venusaur ex Lilligant","ursiiday2"
"60171","Matheus S","4","LOSS","DanielOuteda",NA,"6-4-0","Mewtwo ex Gardevoir","Venusaur ex Lilligant","ursiiday2"
"60181","Matheus S","3","LOSS","Drayke",NA,"6-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"60191","Matheus S","2","WIN","Greensan",NA,"0-10-0","Mewtwo ex Gardevoir","Greninja Weezing","ursiiday2"
"60201","Matheus S","1","LOSS","Vny",NA,"4-6-0","Mewtwo ex Gardevoir","Marowak ex Sandslash","ursiiday2"
"60251","ritzxr","6","LOSS","H1TX",NA,"2-6-0drop","Mewtwo ex Gardevoir","Alakazam Greninja","ursiiday2"
"60261","ritzxr","5","LOSS","seoneng",NA,"5-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"60281","ritzxr","3","LOSS","Alo",NA,"2-2-0drop","Mewtwo ex Gardevoir","Blastoise ex Snorlax","ursiiday2"
"60291","ritzxr","2","LOSS","Maka",NA,"3-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","ursiiday2"
"60301","ritzxr","1","WIN","mKnox",NA,"0-1-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","ursiiday2"
"60361","gorani","5","LOSS","ponni318",NA,"3-4-0drop","Alakazam Clefable","Mewtwo ex Gardevoir","ursiiday2"
"60371","gorani","4","LOSS","Micalemei",NA,"2-3-0drop","Alakazam Clefable","Mewtwo ex Gardevoir","ursiiday2"
"60381","gorani","3","WIN","Black07",NA,"0-3-0drop","Alakazam Clefable","Articuno ex Starmie ex","ursiiday2"
"60391","gorani","2","LOSS","st41in",NA,"4-6-0","Alakazam Clefable","Mewtwo ex Gardevoir","ursiiday2"
"60401","gorani","1","LOSS","Cello",NA,"6-3-0drop","Alakazam Clefable","Charizard ex Moltres ex","ursiiday2"
"60471","Soul92","4","LOSS","Everythingisquietnow",NA,"4-5-0drop","Charizard ex Moltres ex","Arcanine ex Moltres ex","ursiiday2"
"60481","Soul92","3","LOSS","KaptKerr",NA,"9-2-0","Charizard ex Moltres ex","Ninetales Rapidash","ursiiday2"
"60491","Soul92","2","WIN","Wolf_0",NA,"0-2-0drop","Charizard ex Moltres ex","Pikachu ex Zapdos ex","ursiiday2"
"60501","Soul92","1","LOSS","bitencourt99",NA,"3-7-0","Charizard ex Moltres ex","Articuno ex Lapras ex","ursiiday2"
"60571","tylerwsurface","4","LOSS","CapCaps",NA,"2-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","ursiiday2"
"60581","tylerwsurface","3","LOSS","LouiseValentine",NA,"3-3-0drop","Mewtwo ex Gardevoir","Marowak ex Sandslash","ursiiday2"
"60591","tylerwsurface","2","LOSS","kim",NA,"2-2-0drop","Mewtwo ex Gardevoir","Arbok Weezing","ursiiday2"
"60601","tylerwsurface","1","WIN","SungDae",NA,"5-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"60614","Die Kampfstube","4","LOSS","SleepyOnion",NA,"6-4-0","Pikachu ex Zapdos ex","Gengar ex Gengar","ursiiday2"
"60621","Die Kampfstube","3","WIN","DranoelDarnoc",NA,"0-10-0","Pikachu ex Zapdos ex","Starmie ex Greninja","ursiiday2"
"60631","Die Kampfstube","2","LOSS","yokaru",NA,"1-3-0drop","Pikachu ex Zapdos ex","Marowak ex Primeape","ursiiday2"
"60641","Die Kampfstube","1","LOSS","Mizukbulls",NA,"1-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Raichu","ursiiday2"
"60714","kokevich","4","LOSS","B3rgie",NA,"4-6-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"60721","kokevich","3","WIN","lrikko",NA,"3-7-0","Pikachu ex Zapdos ex","Alakazam Weezing","ursiiday2"
"60731","kokevich","2","LOSS","mikeoandhisdoh",NA,"3-5-0drop","Pikachu ex Zapdos ex","Ninetales Rapidash","ursiiday2"
"60741","kokevich","1","LOSS","davidjacha",NA,"8-2-0","Pikachu ex Zapdos ex","Articuno ex Starmie ex","ursiiday2"
"60814","clairsensei","4","LOSS","NewtonRuck",NA,"4-6-0","Nidoking Nidoqueen","Mewtwo ex Gardevoir","ursiiday2"
"60821","clairsensei","3","LOSS","Tawmpy",NA,"4-3-0drop","Nidoking Nidoqueen","Mewtwo ex Gardevoir","ursiiday2"
"60831","clairsensei","2","LOSS","FilvisMH",NA,"5-5-0","Nidoking Nidoqueen","Mewtwo ex Gardevoir","ursiiday2"
"60841","clairsensei","1","WIN","Drix",NA,"4-6-0","Nidoking Nidoqueen","Ninetales Rapidash","ursiiday2"
"60921","Rioneru","3","LOSS","Beater",NA,"2-8-0","Charizard ex Moltres ex","Pikachu ex Zapdos ex","ursiiday2"
"60931","Rioneru","2","LOSS","Maikinho",NA,"7-3-0","Charizard ex Moltres ex","Mewtwo ex Gardevoir","ursiiday2"
"60941","Rioneru","1","LOSS","teapot",NA,"2-4-0drop","Charizard ex Moltres ex","Articuno ex Starmie ex","ursiiday2"
"60981","Taeyeon","7","LOSS","Phantooonn",NA,"2-8-0","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","ursiiday2"
"610110","Taeyeon","4","LOSS","Gallant",NA,"6-4-0","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","ursiiday2"
"61021","Taeyeon","3","LOSS","jqqr",NA,"2-2-0drop","Exeggutor ex Venusaur ex","Pikachu ex Zapdos ex","ursiiday2"
"61031","Taeyeon","2","LOSS","Xapu69",NA,"4-4-0drop","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","ursiiday2"
"61041","Taeyeon","1","WIN","PrinceDillon",NA,"2-8-0","Exeggutor ex Venusaur ex","Pikachu ex Zapdos ex","ursiiday2"
"611110","roncetti","4","LOSS","GrimmChef",NA,"2-3-0drop","Mewtwo ex Gardevoir","Lapras ex Butterfree","ursiiday2"
"61121","roncetti","3","LOSS","LHh47",NA,"6-4-0drop","Mewtwo ex Gardevoir","Ninetales Rapidash","ursiiday2"
"61131","roncetti","2","WIN","Gallant",NA,"6-4-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"61151","himazin","3","LOSS","Filantropo",NA,"3-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"61161","himazin","2","WIN","macro",NA,"0-2-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"61171","himazin","1","LOSS","Dhiaz",NA,"2-8-0drop","Pikachu ex Zapdos ex","Charizard ex Moltres ex","ursiiday2"
"61181","beat","4","WIN","Greensan",NA,"0-10-0","Alakazam Greninja","Greninja Weezing","ursiiday2"
"61191","beat","3","LOSS","Carlos Wessling",NA,"1-3-0drop","Alakazam Greninja","Pikachu ex Zapdos ex","ursiiday2"
"61201","beat","2","LOSS","shanerdf",NA,"4-4-0drop","Alakazam Greninja","Pikachu ex Zapdos ex","ursiiday2"
"61271","Santana","5","LOSS","lrikko",NA,"3-7-0","Ninetales Rapidash","Alakazam Weezing","ursiiday2"
"61281","Santana","4","LOSS","Phurinut_Pol",NA,"2-2-0drop","Ninetales Rapidash","Muk Weezing","ursiiday2"
"61291","Santana","3","LOSS","Brandon J",NA,"7-3-0","Ninetales Rapidash","Mewtwo ex Gardevoir","ursiiday2"
"61301","Santana","2","WIN","loic15",NA,"0-10-0","Ninetales Rapidash","Marowak ex Marowak","ursiiday2"
"61321","Dicy","4","LOSS","CMGato",NA,"2-8-0drop","Mewtwo ex Gardevoir","Marowak ex Sandslash","ursiiday2"
"61331","Dicy","3","LOSS","JGS",NA,"4-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"61341","Dicy","2","WIN","Tobimaro",NA,"0-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"61351","Dicy","1","LOSS","Starlight",NA,"1-9-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"61414","MINGYULEE","5","LOSS","Snowpoints",NA,"5-5-0","Charizard ex Moltres ex","Mewtwo ex Gardevoir","ursiiday2"
"61431","MINGYULEE","3","LOSS","Magooimplacavel",NA,"2-3-0drop","Charizard ex Moltres ex","Arbok Weezing","ursiiday2"
"61441","MINGYULEE","2","WIN","Carro11",NA,"2-3-0drop","Charizard ex Moltres ex","Machamp ex Onix","ursiiday2"
"61451","MINGYULEE","1","LOSS","SuiCa39",NA,"1-2-0drop","Charizard ex Moltres ex","Arbok Weezing","ursiiday2"
"61531","Undeadex","3","LOSS","Dragfall",NA,"5-5-0","Articuno ex Starmie ex","Pikachu ex Electrode","ursiiday2"
"61541","Undeadex","2","WIN","shimobr",NA,"2-5-0drop","Articuno ex Starmie ex","Charizard ex Moltres ex","ursiiday2"
"61551","Undeadex","1","LOSS","yoppe06",NA,"7-3-0","Articuno ex Starmie ex","Pikachu ex Zapdos ex","ursiiday2"
"61621","Lowbattz","4","LOSS","Bsmith5",NA,"3-7-0","Mewtwo ex Gardevoir","Starmie ex Greninja","ursiiday2"
"61631","Lowbattz","3","LOSS","JIREN",NA,"4-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","ursiiday2"
"61641","Lowbattz","2","WIN","imi",NA,"0-10-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"61651","Lowbattz","1","LOSS","Fawn",NA,"3-2-0drop","Mewtwo ex Gardevoir","Arbok Weezing","ursiiday2"
"61715","Karimikik","5","LOSS","Gomez02",NA,"2-3-0drop","Charizard ex Moltres ex","Mewtwo ex Gardevoir","ursiiday2"
"61721","Karimikik","4","LOSS","Shiraaz",NA,"2-5-0drop","Charizard ex Moltres ex","Articuno ex Dragonite","ursiiday2"
"61731","Karimikik","3","LOSS","bitencourt99",NA,"3-7-0","Charizard ex Moltres ex","Articuno ex Lapras ex","ursiiday2"
"61741","Karimikik","2","WIN","rijal",NA,"1-4-0drop","Charizard ex Moltres ex","Primeape Sandslash","ursiiday2"
"61751","Karimikik","1","LOSS","bestpas",NA,"5-2-0drop","Charizard ex Moltres ex","Charizard ex Moltres ex","ursiiday2"
"61821","Lancet","4","LOSS","Icecobra",NA,"2-3-0drop","Pikachu ex Zapdos ex","Dragonite Tentacruel","ursiiday2"
"61831","Lancet","3","LOSS","dede495",NA,"4-6-0","Pikachu ex Zapdos ex","Dragonite Frosmoth","ursiiday2"
"61841","Lancet","2","LOSS","TaziGamer",NA,"5-5-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"61851","Lancet","1","WIN","SADITH",NA,"2-3-0drop","Pikachu ex Zapdos ex","Starmie ex Mienshao","ursiiday2"
"61913","deniprase11","5","LOSS","Tr4p3d",NA,"2-5-0drop","Arbok Weezing","Mewtwo ex Gardevoir","ursiiday2"
"61921","deniprase11","4","LOSS","Deelek",NA,"3-3-0drop","Arbok Weezing","Mewtwo ex Gardevoir","ursiiday2"
"61931","deniprase11","3","LOSS","st41in",NA,"4-6-0","Arbok Weezing","Mewtwo ex Gardevoir","ursiiday2"
"61941","deniprase11","2","WIN","MaxMaster97",NA,"0-2-0drop","Arbok Weezing","Charizard ex Moltres ex","ursiiday2"
"61951","deniprase11","1","LOSS","Feral96",NA,"5-5-0","Arbok Weezing","Charizard ex Moltres ex","ursiiday2"
"62013","Starlight","5","LOSS","PhilipeJoon",NA,"2-3-0drop","Mewtwo ex Gardevoir","Primeape Sandslash","ursiiday2"
"62021","Starlight","4","LOSS","mikeoandhisdoh",NA,"3-5-0drop","Mewtwo ex Gardevoir","Ninetales Rapidash","ursiiday2"
"62031","Starlight","3","LOSS","knullified",NA,"4-4-0drop","Mewtwo ex Gardevoir","Alakazam Weezing","ursiiday2"
"62041","Starlight","2","LOSS","nandosgude",NA,"2-3-0drop","Mewtwo ex Gardevoir","Marowak ex Sandslash","ursiiday2"
"62051","Starlight","1","WIN","Dicy",NA,"1-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"62121","hell","4","LOSS","coinflipking",NA,"6-4-0","Pikachu ex Electrode","Articuno ex Starmie ex","ursiiday2"
"62131","hell","3","LOSS","Shocker",NA,"2-3-1drop","Pikachu ex Electrode","Marowak ex Sandslash","ursiiday2"
"62141","hell","2","WIN","Cristu",NA,"0-4-0drop","Pikachu ex Electrode","Exeggutor ex Greninja","ursiiday2"
"62151","hell","1","LOSS","PingShiRo",NA,"2-3-0drop","Pikachu ex Electrode","Machamp ex Marowak ex","ursiiday2"
"62161","rijal","5","LOSS","Tromboneta",NA,"2-4-0drop","Primeape Sandslash","Exeggutor ex Venusaur ex","ursiiday2"
"62171","rijal","4","LOSS","Qwertymop",NA,"2-8-0","Primeape Sandslash","Mewtwo ex Gardevoir","ursiiday2"
"62181","rijal","3","WIN","Jotapee",NA,"0-10-0","Primeape Sandslash","Pikachu ex Zapdos ex","ursiiday2"
"62191","rijal","2","LOSS","Karimikik",NA,"1-9-0","Primeape Sandslash","Charizard ex Moltres ex","ursiiday2"
"62201","rijal","1","LOSS","Welc0",NA,"3-3-0drop","Primeape Sandslash","Pikachu ex Zapdos ex","ursiiday2"
"62261","wtpk14","5","LOSS","13thephantom",NA,"5-5-0","Marowak ex Sandslash","Alakazam Gardevoir","ursiiday2"
"62281","wtpk14","3","LOSS","SynthAura",NA,"3-7-0","Marowak ex Sandslash","Mewtwo ex Gardevoir","ursiiday2"
"62291","wtpk14","2","LOSS","FreckZ",NA,"3-2-0drop","Marowak ex Sandslash","Pikachu ex Zapdos ex","ursiiday2"
"62301","wtpk14","1","WIN","Lee27",NA,"0-10-0","Marowak ex Sandslash","Charizard ex Moltres ex","ursiiday2"
"62361","Swaizi","5","WIN","Xuantien",NA,"0-10-0","Ninetales Rapidash","Mewtwo ex Gardevoir","ursiiday2"
"62381","Swaizi","3","LOSS","Shortie",NA,"1-3-0drop","Ninetales Rapidash","Charizard ex Moltres ex","ursiiday2"
"62391","Swaizi","2","LOSS","cjxskull",NA,"5-5-0","Ninetales Rapidash","Pikachu ex Zapdos ex","ursiiday2"
"62401","Swaizi","1","LOSS","sopheon",NA,"5-3-0drop","Ninetales Rapidash","Arbok Weezing","ursiiday2"
"62491","Baki","2","LOSS","ackerman",NA,"5-5-0","Arbok Weezing","Starmie ex Greninja","ursiiday2"
"62501","Baki","1","LOSS","TheTritriTyrant",NA,"5-5-0","Arbok Weezing","Pikachu ex Zapdos ex","ursiiday2"
"62561","amko_ex","5","LOSS","Akizul",NA,"2-8-0","Pikachu ex Zebstrika","Dragonite Weezing","ursiiday2"
