"","Player","Round","Result","Opponent","PlayerDeck","OpponentDeck"
"5717","KyoMeh",4,"LOSS","Alytreta","Dragonite Weezing","Marowak ex Primeape"
"5718","KyoMeh",3,"LOSS","dont_eat_me","Dragonite Weezing","Ninetales Rapidash"
"5719","KyoMeh",2,"WIN","OPX","Dragonite Weezing","Charizard ex Moltres ex"
"5720","KyoMeh",1,"LOSS","St3","Dragonite Weezing","Pikachu ex Zapdos ex"
"5721","Kobink19",1,"WIN","dede495","Mewtwo ex Gardevoir","Dragonite Frosmoth"
"5722","loolersss",3,"LOSS","Alderori","Mewtwo ex Gardevoir","Greninja Articuno ex"
"5723","loolersss",2,"LOSS","mizu27","Mewtwo ex Gardevoir","Marowak ex Golbat"
"5724","loolersss",1,"WIN","Skorme","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"5725","Tavi2K",4,"LOSS","ackerman","Mewtwo ex Gardevoir","Greninja Starmie ex"
"5726","Tavi2K",3,"LOSS","Riley448","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"5727","Tavi2K",2,"WIN","JudgeHolden","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"5728","Tavi2K",1,"LOSS","Pocket_Deuces","Mewtwo ex Gardevoir","Pikachu ex Raichu"
"5729","Warden06",4,"WIN","raaiizooo","Articuno ex","Dragonite Frosmoth"
"5730","Warden06",3,"LOSS","Hayakeo","Articuno ex","Articuno ex Lapras ex"
"5731","Warden06",2,"LOSS","stillsalt","Articuno ex","Mewtwo ex Gardevoir"
"5732","Warden06",1,"LOSS","Zer0_0","Articuno ex","Wigglytuff ex Weezing"
"5733","avidgamer",3,"LOSS","Peterolord","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5734","avidgamer",2,"WIN","Kyro_Games","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"5735","avidgamer",1,"LOSS","Shadet","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5742","BlondonBoy",4,"LOSS","Diomenico","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"5743","BlondonBoy",3,"LOSS","SirEverart","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5744","BlondonBoy",2,"LOSS","bk7","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"5745","BlondonBoy",1,"WIN","AzeL","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"5746","PrinceZ",3,"LOSS","shazq","Charizard ex Moltres ex","Starmie ex Articuno ex"
"5747","PrinceZ",2,"LOSS","Zlatan_Br","Charizard ex Moltres ex","Starmie ex Articuno ex"
"5748","PrinceZ",1,"WIN","kraon","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"5749","XZKpo",4,"LOSS","Darth_Mors","Pikachu ex Electrode","Charizard ex Moltres ex"
"5750","XZKpo",3,"LOSS","izana2547z","Pikachu ex Electrode","Pikachu ex Electrode"
"5751","XZKpo",2,"WIN","Soeking","Pikachu ex Electrode","Venusaur ex Lilligant"
"5752","XZKpo",1,"LOSS","Magooimplacavel","Pikachu ex Electrode","Arbok Weezing"
"5758","YOH",5,"LOSS","SADITH","Mewtwo ex Gardevoir","Starmie ex Mienshao"
"5759","YOH",4,"LOSS","Sake","Mewtwo ex Gardevoir","Venusaur ex Lilligant"
"5760","YOH",3,"LOSS","DrGrindal","Mewtwo ex Gardevoir","Charizard ex Rapidash"
"5761","YOH",2,"LOSS","spamandrice","Mewtwo ex Gardevoir","Ninetales Rapidash"
"5762","YOH",1,"WIN","CallMeJarda","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"5767","XrossHeart",6,"LOSS","LinkBloo","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"5768","XrossHeart",5,"LOSS","Doffy TCG","Charizard ex Moltres ex","Charizard ex Moltres ex"
"5769","XrossHeart",4,"LOSS","Chikonina25","Charizard ex Moltres ex","Gardevoir Mewtwo ex"
"5770","XrossHeart",3,"WIN","Greensan","Charizard ex Moltres ex","Greninja Weezing"
"5771","XrossHeart",2,"LOSS","Kamell","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"5773","pablooca03",3,"LOSS","kazma","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5774","pablooca03",2,"LOSS","sword","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"5775","pablooca03",1,"WIN","DRAGODZ","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5782","Galle17",4,"LOSS","Carro11","Pikachu ex Zapdos ex","Machamp ex Onix"
"5783","Galle17",3,"LOSS","RussFFW","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"5784","Galle17",2,"WIN","cchan0728","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"5785","Galle17",1,"LOSS","SonicF","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"5786","Ikaramashu",4,"LOSS","nachoszb","Centiskorch Moltres ex","Mewtwo ex Gardevoir"
"5787","Ikaramashu",3,"WIN","Acealon","Centiskorch Moltres ex","Pidgeot Grapploct"
"5788","Ikaramashu",2,"LOSS","Zariweya","Centiskorch Moltres ex","Marowak ex Dugtrio"
"5789","Ikaramashu",1,"LOSS","Lei","Centiskorch Moltres ex","Pikachu ex Zapdos ex"
"5791","Masttah",4,"LOSS","Steelcutter","Charizard ex Pidgeot","Wigglytuff ex Weezing"
"5792","Masttah",3,"LOSS","DecaPod","Charizard ex Pidgeot","Pikachu ex Zapdos ex"
"5793","Masttah",2,"WIN","Jhoni","Charizard ex Pidgeot","Pikachu ex Zebstrika"
"5794","Masttah",1,"LOSS","alfpuccino","Charizard ex Pidgeot","Ninetales Rapidash"
"5795","DemianDE",2,"WIN","Gara88","Pikachu ex Zebstrika","Pikachu ex Zapdos ex"
"5796","DemianDE",1,"LOSS","valvind","Pikachu ex Zebstrika","Marowak ex Golbat"
"5797","Zodiark",2,"WIN","Palkia_The_Spacer","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"5798","Zodiark",1,"LOSS","Xapu69","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"5799","TeapotJim",2,"WIN","Curupira","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"5800","TeapotJim",1,"LOSS","Tonezy","Pikachu ex Zapdos ex","Alakazam Weezing"
"5807","Chaichan Siriwongprom",4,"LOSS","akapelu","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"5808","Chaichan Siriwongprom",3,"LOSS","Hideout","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"5809","Chaichan Siriwongprom",2,"LOSS","Goose91","Starmie ex Articuno ex","Ninetales Rapidash"
"5810","Chaichan Siriwongprom",1,"WIN","mammosz","Starmie ex Articuno ex","Pikachu ex Heliolisk"
"5816","Ema03",5,"LOSS","WARBEN","Mewtwo ex Gardevoir","Ninetales Rapidash"
"5817","Ema03",4,"LOSS","Ruberi22","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5818","Ema03",3,"LOSS","Scraftionite","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5819","Ema03",2,"LOSS","Hayato","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"5820","Ema03",1,"WIN","Xuantien","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5821","charismaacheck",3,"LOSS","Lukse","Pikachu ex Zebstrika","Mewtwo ex Gardevoir"
"5822","charismaacheck",2,"WIN","zaiko08","Pikachu ex Zebstrika","Charizard ex Moltres ex"
"5829","Rameeeen23",5,"LOSS","K1zams","Dragonite Frosmoth","Mewtwo ex Gardevoir"
"5830","Rameeeen23",4,"LOSS","MongaZone","Dragonite Frosmoth","Lapras ex Articuno ex"
"5831","Rameeeen23",3,"WIN","Tayz","Dragonite Frosmoth","Pikachu ex Zapdos ex"
"5832","Rameeeen23",2,"LOSS","zuma","Dragonite Frosmoth","Starmie ex Articuno ex"
"5833","Rameeeen23",1,"LOSS","PIPPIKING","Dragonite Frosmoth","Pikachu ex Raichu"
"5839","DarKingBR",5,"LOSS","Tellador","Arbok Weezing","Zapdos ex Pidgeot"
"5840","DarKingBR",4,"LOSS","matcha","Arbok Weezing","Pikachu ex Raichu"
"5841","DarKingBR",3,"LOSS","Shirotori","Arbok Weezing","Moltres ex Ninetales"
"5842","DarKingBR",2,"WIN","Feeling4","Arbok Weezing","Charizard ex Moltres ex"
"5843","DarKingBR",1,"LOSS","nxissimo","Arbok Weezing","Pikachu ex Zapdos ex"
"5850","Porkatack",4,"LOSS","Azhell","Charizard ex Magmar","Primeape"
"5851","Porkatack",3,"LOSS","MrGlue","Charizard ex Magmar","Pikachu ex Zapdos ex"
"5852","Porkatack",2,"LOSS","draloken","Charizard ex Magmar","Dragonite Weezing"
"5853","Porkatack",1,"WIN","VentusLebrant","Charizard ex Magmar","Mewtwo ex Gardevoir"
"5860","Kux",4,"LOSS","PeptoG","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"5861","Kux",3,"LOSS","VermiCL","Charizard ex Moltres ex","Pikachu ex Electrode"
"5862","Kux",2,"WIN","Dixiiit","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"5863","Kux",1,"LOSS","Kevy93","Charizard ex Moltres ex","Alakazam Weezing"
"5866","haito",8,"LOSS","Gex","Pikachu ex Raichu","Starmie ex Articuno ex"
"5869","haito",5,"LOSS","Drix","Pikachu ex Raichu","Ninetales Rapidash"
"5871","haito",3,"LOSS","THBfra","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"5872","haito",2,"LOSS","johnnychiou36","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"5873","haito",1,"WIN","Lukse","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"5879","TTVGorgXD",5,"LOSS","DownAirOnly","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"5880","TTVGorgXD",4,"LOSS","Hayakeo","Charizard ex Moltres ex","Articuno ex Lapras ex"
"5881","TTVGorgXD",3,"LOSS","DEADi","Charizard ex Moltres ex","Sandslash Primeape"
"5882","TTVGorgXD",2,"LOSS","Smoothie","Charizard ex Moltres ex","Starmie ex Articuno ex"
"5883","TTVGorgXD",1,"WIN","Fauros","Charizard ex Moltres ex","Dragonite Weezing"
"5890","PeachSLP",4,"LOSS","ContreraxD","Mewtwo ex Gardevoir","Venusaur ex Lilligant"
"5891","PeachSLP",3,"WIN","K1zams","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5892","PeachSLP",2,"LOSS","paanchooo","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"5893","PeachSLP",1,"LOSS","Th3RaT","Mewtwo ex Gardevoir","Marowak ex Pidgeot"
"5898","Loup",6,"LOSS","Boxcarjoethemagichobo","Dragonite Articuno ex","Arbok Weezing"
"5899","Loup",5,"LOSS","KhaZ_5","Dragonite Articuno ex","Articuno ex Frosmoth"
"5900","Loup",4,"LOSS","i9mha","Dragonite Articuno ex","Mewtwo ex Gardevoir"
"5901","Loup",3,"LOSS","iyosz","Dragonite Articuno ex","Dragonite Snorlax"
"5902","Loup",2,"LOSS","Bombo","Dragonite Articuno ex","Pikachu ex Zebstrika"
"5903","Loup",1,"WIN","Senfapfel98","Dragonite Articuno ex","Pikachu ex Zapdos ex"
"5908","St3",6,"LOSS","OPX","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"5909","St3",5,"LOSS","Micka","Pikachu ex Zapdos ex","Pikachu ex Zebstrika"
"5910","St3",4,"LOSS","Stoffies","Pikachu ex Zapdos ex","Pikachu ex Zebstrika"
"5911","St3",3,"LOSS","sadclown","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"5912","St3",2,"LOSS","Myungjoon Kim","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"5913","St3",1,"WIN","KyoMeh","Pikachu ex Zapdos ex","Dragonite Weezing"
"5914","TobiYume",4,"LOSS","KennyeSpring","Starmie ex Golduck","Pikachu ex Zapdos ex"
"5915","TobiYume",3,"LOSS","Moppie","Starmie ex Golduck","Mewtwo ex Gardevoir"
"5916","TobiYume",2,"WIN","99johnsteven","Starmie ex Golduck","Mewtwo ex Gardevoir"
"5917","TobiYume",1,"LOSS","DarthTator22","Starmie ex Golduck","Marowak ex Sandslash"
"5923","BuraKaii",4,"LOSS","99johnsteven","Pikachu ex Zebstrika","Mewtwo ex Gardevoir"
"5924","BuraKaii",3,"LOSS","jaycefel","Pikachu ex Zebstrika","Exeggutor ex Exeggutor"
"5925","BuraKaii",2,"LOSS","Jzin","Pikachu ex Zebstrika","Ninetales Rapidash"
"5926","BuraKaii",1,"WIN","KaynEterno","Pikachu ex Zebstrika","Greninja Starmie ex"
"5929","penipejalanawan",8,"LOSS","Chunti","Mewtwo ex Gengar ex","Muk Weezing"
"5932","penipejalanawan",5,"LOSS","Amurim","Mewtwo ex Gengar ex","Articuno ex"
"5933","penipejalanawan",4,"LOSS","yunlong","Mewtwo ex Gengar ex","Mewtwo ex Gardevoir"
"5934","penipejalanawan",3,"LOSS","Welc0","Mewtwo ex Gengar ex","Pikachu ex Zapdos ex"
"5935","penipejalanawan",2,"LOSS","Gyojun","Mewtwo ex Gengar ex","Pikachu ex Zapdos ex"
"5936","penipejalanawan",1,"WIN","Majin_Tera","Mewtwo ex Gengar ex","Pikachu ex Zebstrika"
"5942","Wienze",5,"LOSS","Rahul","Pikachu ex Zapdos ex","Venusaur ex Lilligant"
"5943","Wienze",4,"LOSS","Tuajedka","Pikachu ex Zapdos ex","Marowak ex Golbat"
"5944","Wienze",3,"LOSS","KoNoRd","Pikachu ex Zapdos ex","Pikachu ex Electrode"
"5945","Wienze",2,"LOSS","MaximusAle","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"5946","Wienze",1,"WIN","breeban","Pikachu ex Zapdos ex","Starmie ex Greninja"
"5953","Circlesh",4,"LOSS","VULKAN","Venusaur ex Exeggutor ex","Blastoise ex Tentacruel"
"5954","Circlesh",3,"LOSS","NikoAlexander","Venusaur ex Exeggutor ex","Ninetales Rapidash"
"5955","Circlesh",2,"LOSS","Chip Richey","Venusaur ex Exeggutor ex","Mewtwo ex Gardevoir"
"5956","Circlesh",1,"WIN","Akashin","Venusaur ex Exeggutor ex","Marowak ex Sandslash"
"5962","Luis ",5,"LOSS","Saga","Lapras ex Articuno ex","Charizard ex Moltres ex"
"5963","Luis ",4,"LOSS","BigPlanet26","Lapras ex Articuno ex","Pikachu ex Heliolisk"
"5964","Luis ",3,"LOSS","waffle0118","Lapras ex Articuno ex","Alakazam Greninja"
"5965","Luis ",2,"LOSS","Sarson","Lapras ex Articuno ex","Pikachu ex Zapdos ex"
"5966","Luis ",1,"WIN","Jhonnycito","Lapras ex Articuno ex","Mewtwo ex Gardevoir"
"5967","PaTiiiKz",4,"LOSS","DWChronos","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5968","PaTiiiKz",3,"LOSS","Silent","Mewtwo ex Gardevoir","Starmie ex Articuno ex"
"5969","PaTiiiKz",2,"WIN","Neutranika","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5970","PaTiiiKz",1,"LOSS","YoungLotus12","Mewtwo ex Gardevoir","Marowak ex Primeape"
"5977","Helzen",4,"LOSS","Razu_zu","Mewtwo ex Gardevoir","Wigglytuff ex Weezing"
"5978","Helzen",3,"WIN","ssmt","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5979","Helzen",2,"LOSS","Boonia3","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"5986","Botijo",5,"LOSS","Serkan","Pikachu ex Raichu","Venusaur ex Weezing"
"5987","Botijo",4,"LOSS","chrisotore2","Pikachu ex Raichu","Pikachu ex Electrode"
"5988","Botijo",3,"LOSS","jreamx","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"5989","Botijo",2,"WIN","antarcticiteboy","Pikachu ex Raichu","Venusaur ex Exeggutor ex"
"5990","Botijo",1,"LOSS","davenznk","Pikachu ex Raichu","Pikachu ex Zebstrika"
"5997","HERNANSKY",4,"LOSS","lucari","Dragonite Kangaskhan","Starmie ex Articuno ex"
"5998","HERNANSKY",3,"LOSS","lmc131121","Dragonite Kangaskhan","Mewtwo ex Gardevoir"
"5999","HERNANSKY",2,"WIN","Fauros","Dragonite Kangaskhan","Dragonite Weezing"
"6000","HERNANSKY",1,"LOSS","SKY_SkyWolf93","Dragonite Kangaskhan","Mewtwo ex Gardevoir"
"6005","Awbrn",6,"LOSS","Encryption","Starmie ex Golduck","Mewtwo ex Gardevoir"
"6006","Awbrn",5,"LOSS","TwoKayPie","Starmie ex Golduck","Mewtwo ex Gardevoir"
"6007","Awbrn",4,"LOSS","Enfurno","Starmie ex Golduck","Pikachu ex Electrode"
"6008","Awbrn",3,"LOSS","Gh0ulface","Starmie ex Golduck","Pikachu ex Zebstrika"
"6009","Awbrn",2,"WIN","Rahul","Starmie ex Golduck","Venusaur ex Lilligant"
"6017","Matheus S",4,"LOSS","DanielOuteda","Mewtwo ex Gardevoir","Venusaur ex Lilligant"
"6018","Matheus S",3,"LOSS","Drayke","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"6019","Matheus S",2,"WIN","Greensan","Mewtwo ex Gardevoir","Greninja Weezing"
"6020","Matheus S",1,"LOSS","Vny","Mewtwo ex Gardevoir","Marowak ex Sandslash"
"6025","ritzxr",6,"LOSS","H1TX","Mewtwo ex Gardevoir","Alakazam Greninja"
"6026","ritzxr",5,"LOSS","seoneng","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"6028","ritzxr",3,"LOSS","Alo","Mewtwo ex Gardevoir","Blastoise ex Snorlax"
"6029","ritzxr",2,"LOSS","Maka","Mewtwo ex Gardevoir","Pikachu ex Electrode"
"6030","ritzxr",1,"WIN","mKnox","Mewtwo ex Gardevoir","Pikachu ex Electrode"
"6036","gorani",5,"LOSS","ponni318","Alakazam Clefable","Mewtwo ex Gardevoir"
"6037","gorani",4,"LOSS","Micalemei","Alakazam Clefable","Mewtwo ex Gardevoir"
"6038","gorani",3,"WIN","Black07","Alakazam Clefable","Starmie ex Articuno ex"
"6039","gorani",2,"LOSS","st41in","Alakazam Clefable","Mewtwo ex Gardevoir"
"6040","gorani",1,"LOSS","Cello","Alakazam Clefable","Charizard ex Moltres ex"
"6047","Soul92",4,"LOSS","Everythingisquietnow","Charizard ex Moltres ex","Arcanine ex Moltres ex"
"6048","Soul92",3,"LOSS","KaptKerr","Charizard ex Moltres ex","Ninetales Rapidash"
"6049","Soul92",2,"WIN","Wolf_0","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"6050","Soul92",1,"LOSS","bitencourt99","Charizard ex Moltres ex","Articuno ex Lapras ex"
"6057","tylerwsurface",4,"LOSS","CapCaps","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"6058","tylerwsurface",3,"LOSS","LouiseValentine","Mewtwo ex Gardevoir","Marowak ex Sandslash"
"6059","tylerwsurface",2,"LOSS","kim","Mewtwo ex Gardevoir","Arbok Weezing"
"6060","tylerwsurface",1,"WIN","SungDae","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"6061","Die Kampfstube",4,"LOSS","SleepyOnion","Pikachu ex Zapdos ex","Gengar ex Gengar"
"6062","Die Kampfstube",3,"WIN","DranoelDarnoc","Pikachu ex Zapdos ex","Starmie ex Greninja"
"6063","Die Kampfstube",2,"LOSS","yokaru","Pikachu ex Zapdos ex","Marowak ex Primeape"
"6064","Die Kampfstube",1,"LOSS","Mizukbulls","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"6071","kokevich",4,"LOSS","B3rgie","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"6072","kokevich",3,"WIN","lrikko","Pikachu ex Zapdos ex","Alakazam Weezing"
"6073","kokevich",2,"LOSS","mikeoandhisdoh","Pikachu ex Zapdos ex","Ninetales Rapidash"
"6074","kokevich",1,"LOSS","davidjacha","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"6081","clairsensei",4,"LOSS","NewtonRuck","Nidoqueen Nidoking","Mewtwo ex Gardevoir"
"6082","clairsensei",3,"LOSS","Tawmpy","Nidoqueen Nidoking","Mewtwo ex Gardevoir"
"6083","clairsensei",2,"LOSS","FilvisMH","Nidoqueen Nidoking","Mewtwo ex Gardevoir"
"6084","clairsensei",1,"WIN","Drix","Nidoqueen Nidoking","Ninetales Rapidash"
"6092","Rioneru",3,"LOSS","Beater","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"6093","Rioneru",2,"LOSS","Maikinho","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"6094","Rioneru",1,"LOSS","teapot","Charizard ex Moltres ex","Starmie ex Articuno ex"
"6098","Taeyeon",7,"LOSS","Phantooonn","Venusaur ex Exeggutor ex","Mewtwo ex Gardevoir"
"6101","Taeyeon",4,"LOSS","Gallant","Venusaur ex Exeggutor ex","Mewtwo ex Gardevoir"
"6102","Taeyeon",3,"LOSS","jqqr","Venusaur ex Exeggutor ex","Pikachu ex Zapdos ex"
"6103","Taeyeon",2,"LOSS","Xapu69","Venusaur ex Exeggutor ex","Mewtwo ex Gardevoir"
"6104","Taeyeon",1,"WIN","PrinceDillon","Venusaur ex Exeggutor ex","Pikachu ex Zapdos ex"
"6111","roncetti",4,"LOSS","GrimmChef","Mewtwo ex Gardevoir","Lapras ex Butterfree"
"6112","roncetti",3,"LOSS","LHh47","Mewtwo ex Gardevoir","Ninetales Rapidash"
"6113","roncetti",2,"WIN","Gallant","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"6115","himazin",3,"LOSS","Filantropo","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"6116","himazin",2,"WIN","macro","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"6117","himazin",1,"LOSS","Dhiaz","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"6118","beat",4,"WIN","Greensan","Alakazam Greninja","Greninja Weezing"
"6119","beat",3,"LOSS","Carlos Wessling","Alakazam Greninja","Pikachu ex Zapdos ex"
"6120","beat",2,"LOSS","shanerdf","Alakazam Greninja","Pikachu ex Zapdos ex"
"6127","Santana",5,"LOSS","lrikko","Ninetales Rapidash","Alakazam Weezing"
"6128","Santana",4,"LOSS","Phurinut_Pol","Ninetales Rapidash","Muk Weezing"
"6129","Santana",3,"LOSS","Brandon J","Ninetales Rapidash","Mewtwo ex Gardevoir"
"6130","Santana",2,"WIN","loic15","Ninetales Rapidash","Marowak ex Marowak"
"6132","Dicy",4,"LOSS","CMGato","Mewtwo ex Gardevoir","Marowak ex Sandslash"
"6133","Dicy",3,"LOSS","JGS","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"6134","Dicy",2,"WIN","Tobimaro","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"6135","Dicy",1,"LOSS","Starlight","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"6141","MINGYULEE",5,"LOSS","Snowpoints","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"6143","MINGYULEE",3,"LOSS","Magooimplacavel","Charizard ex Moltres ex","Arbok Weezing"
"6144","MINGYULEE",2,"WIN","Carro11","Charizard ex Moltres ex","Machamp ex Onix"
"6145","MINGYULEE",1,"LOSS","SuiCa39","Charizard ex Moltres ex","Arbok Weezing"
"6153","Undeadex",3,"LOSS","Dragfall","Starmie ex Articuno ex","Pikachu ex Electrode"
"6154","Undeadex",2,"WIN","shimobr","Starmie ex Articuno ex","Charizard ex Moltres ex"
"6155","Undeadex",1,"LOSS","yoppe06","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"6162","Lowbattz",4,"LOSS","Bsmith5","Mewtwo ex Gardevoir","Starmie ex Greninja"
"6163","Lowbattz",3,"LOSS","JIREN","Mewtwo ex Gardevoir","Pikachu ex Electrode"
"6164","Lowbattz",2,"WIN","imi","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"6165","Lowbattz",1,"LOSS","Fawn","Mewtwo ex Gardevoir","Arbok Weezing"
"6171","Karimikik",5,"LOSS","Gomez02","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"6172","Karimikik",4,"LOSS","Shiraaz","Charizard ex Moltres ex","Articuno ex Dragonite"
"6173","Karimikik",3,"LOSS","bitencourt99","Charizard ex Moltres ex","Articuno ex Lapras ex"
"6174","Karimikik",2,"WIN","rijal","Charizard ex Moltres ex","Sandslash Primeape"
"6175","Karimikik",1,"LOSS","bestpas","Charizard ex Moltres ex","Charizard ex Moltres ex"
"6182","Lancet",4,"LOSS","Icecobra","Pikachu ex Zapdos ex","Dragonite Tentacruel"
"6183","Lancet",3,"LOSS","dede495","Pikachu ex Zapdos ex","Dragonite Frosmoth"
"6184","Lancet",2,"LOSS","TaziGamer","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"6185","Lancet",1,"WIN","SADITH","Pikachu ex Zapdos ex","Starmie ex Mienshao"
"6191","deniprase11",5,"LOSS","Tr4p3d","Arbok Weezing","Mewtwo ex Gardevoir"
"6192","deniprase11",4,"LOSS","Deelek","Arbok Weezing","Mewtwo ex Gardevoir"
"6193","deniprase11",3,"LOSS","st41in","Arbok Weezing","Mewtwo ex Gardevoir"
"6194","deniprase11",2,"WIN","MaxMaster97","Arbok Weezing","Charizard ex Moltres ex"
"6195","deniprase11",1,"LOSS","Feral96","Arbok Weezing","Charizard ex Moltres ex"
"6201","Starlight",5,"LOSS","PhilipeJoon","Mewtwo ex Gardevoir","Sandslash Primeape"
"6202","Starlight",4,"LOSS","mikeoandhisdoh","Mewtwo ex Gardevoir","Ninetales Rapidash"
"6203","Starlight",3,"LOSS","knullified","Mewtwo ex Gardevoir","Alakazam Weezing"
"6204","Starlight",2,"LOSS","nandosgude","Mewtwo ex Gardevoir","Marowak ex Sandslash"
"6205","Starlight",1,"WIN","Dicy","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"6212","hell",4,"LOSS","coinflipking","Pikachu ex Electrode","Starmie ex Articuno ex"
"6213","hell",3,"LOSS","Shocker","Pikachu ex Electrode","Marowak ex Sandslash"
"6214","hell",2,"WIN","Cristu","Pikachu ex Electrode","Exeggutor ex Greninja"
"6215","hell",1,"LOSS","PingShiRo","Pikachu ex Electrode","Marowak ex Machamp ex"
"6216","rijal",5,"LOSS","Tromboneta","Sandslash Primeape","Venusaur ex Exeggutor ex"
"6217","rijal",4,"LOSS","Qwertymop","Sandslash Primeape","Mewtwo ex Gardevoir"
"6218","rijal",3,"WIN","Jotapee","Sandslash Primeape","Pikachu ex Zapdos ex"
"6219","rijal",2,"LOSS","Karimikik","Sandslash Primeape","Charizard ex Moltres ex"
"6220","rijal",1,"LOSS","Welc0","Sandslash Primeape","Pikachu ex Zapdos ex"
"6226","wtpk14",5,"LOSS","13thephantom","Marowak ex Sandslash","Alakazam Gardevoir"
"6228","wtpk14",3,"LOSS","SynthAura","Marowak ex Sandslash","Mewtwo ex Gardevoir"
"6229","wtpk14",2,"LOSS","FreckZ","Marowak ex Sandslash","Pikachu ex Zapdos ex"
"6230","wtpk14",1,"WIN","Lee27","Marowak ex Sandslash","Charizard ex Moltres ex"
"6236","Swaizi",5,"WIN","Xuantien","Ninetales Rapidash","Mewtwo ex Gardevoir"
"6238","Swaizi",3,"LOSS","Shortie","Ninetales Rapidash","Charizard ex Moltres ex"
"6239","Swaizi",2,"LOSS","cjxskull","Ninetales Rapidash","Pikachu ex Zapdos ex"
"6240","Swaizi",1,"LOSS","sopheon","Ninetales Rapidash","Arbok Weezing"
"6249","Baki",2,"LOSS","ackerman","Arbok Weezing","Greninja Starmie ex"
"6250","Baki",1,"LOSS","TheTritriTyrant","Arbok Weezing","Pikachu ex Zapdos ex"
